aX,aY,aZ,gX,gY,gZ
0.033,0.234,1.081,10.254,7.141,-2.380
0.072,0.231,1.034,12.756,7.141,-1.038
0.068,0.235,0.962,12.085,8.240,0.671
0.057,0.248,0.986,7.629,4.395,1.770
0.068,0.272,1.040,3.418,2.075,2.136
0.070,0.254,0.992,2.319,6.775,0.427
0.068,0.236,0.907,1.526,11.353,-0.793
0.083,0.257,0.883,-1.343,11.597,-0.305
0.097,0.281,0.891,-4.028,10.437,-0.244
0.089,0.245,0.898,-2.075,10.742,-2.319
0.076,0.202,0.868,2.380,12.207,-4.028
0.074,0.196,0.820,5.859,12.634,-3.296
0.075,0.189,0.810,6.287,9.521,-1.892
0.077,0.182,0.867,5.676,4.211,-0.488
0.082,0.201,0.882,5.981,2.136,1.221
0.088,0.205,0.875,6.348,1.953,2.319
0.098,0.226,0.867,6.042,0.854,3.052
0.095,0.244,0.865,5.310,-0.366,3.540
0.087,0.242,0.902,3.784,-2.991,3.174
0.079,0.244,0.956,1.831,-5.005,3.296
0.079,0.248,0.968,1.587,-4.578,2.808
0.078,0.251,0.977,1.526,-3.784,1.892
0.078,0.270,1.011,1.953,-3.845,0.977
0.069,0.238,1.030,3.784,-3.113,-1.099
0.060,0.216,1.007,6.104,-1.099,-2.075
0.060,0.222,0.990,7.019,0.610,-1.587
0.061,0.221,0.982,6.042,1.221,-1.404
0.062,0.210,0.994,4.639,0.916,-1.587
0.073,0.222,0.990,3.357,0.671,-1.099
0.066,0.198,0.989,2.808,0.366,-1.160
0.061,0.196,0.995,1.953,-0.488,-0.732
0.063,0.211,0.996,2.197,-0.183,0.122
0.057,0.194,0.987,2.930,0.732,-0.488
0.054,0.189,0.981,2.869,1.404,-0.610
0.060,0.183,0.989,2.563,1.770,-0.061
0.060,0.189,0.976,2.930,2.625,0.549
0.058,0.202,0.949,4.211,4.089,0.732
0.059,0.207,0.941,4.456,4.272,0.183
0.067,0.218,0.929,4.822,3.479,-0.061
0.075,0.209,0.933,4.883,2.380,-0.793
0.079,0.210,0.955,2.991,1.160,-0.793
0.073,0.211,0.970,1.770,1.160,-0.488
0.079,0.202,0.956,2.136,2.319,-0.671
0.078,0.189,0.936,2.747,2.625,-0.244
0.087,0.190,0.937,2.808,2.136,0.977
0.092,0.210,0.940,2.502,1.587,2.014
0.090,0.192,0.932,3.601,1.709,1.770
0.088,0.182,0.921,3.784,1.343,1.770
0.091,0.201,0.930,2.502,-0.061,2.747
0.090,0.208,0.947,1.221,-1.160,3.540
0.085,0.201,0.960,0.610,-2.014,3.418
