aX,aY,aZ,gX,gY,gZ
-0.062,-0.317,-0.916,2.075,-3.784,-0.916
-0.066,-0.320,-0.951,2.319,-0.977,-1.343
-0.064,-0.318,-0.993,2.258,0.671,-2.136
-0.060,-0.339,-0.991,3.357,-0.366,-2.563
-0.057,-0.345,-0.976,4.700,-1.648,-2.075
-0.056,-0.328,-0.988,4.517,-1.282,-1.160
-0.050,-0.342,-0.974,3.296,-1.892,-1.343
-0.049,-0.339,-0.956,3.235,-2.930,-0.793
-0.050,-0.317,-0.953,1.953,-2.808,0.244
-0.051,-0.331,-0.934,0.671,-2.502,-0.061
-0.047,-0.328,-0.952,-0.488,-0.916,-0.183
-0.051,-0.334,-0.976,-0.183,0.916,-0.366
-0.052,-0.343,-0.970,1.587,0.183,-0.549
-0.052,-0.341,-0.976,2.808,-0.427,-0.183
-0.052,-0.344,-0.996,2.502,-0.610,0.000
-0.056,-0.345,-0.990,2.808,-1.831,0.366
-0.059,-0.321,-0.968,4.089,-3.723,1.404
-0.060,-0.315,-0.969,4.395,-3.845,1.526
-0.065,-0.311,-0.983,4.944,-3.723,1.038
-0.059,-0.301,-0.987,5.005,-4.456,0.549
-0.055,-0.310,-0.956,4.272,-6.104,-0.244
-0.057,-0.309,-0.964,2.380,-6.104,-0.793
-0.052,-0.322,-0.973,1.160,-5.554,-1.526
-0.053,-0.326,-0.956,2.136,-5.981,-1.770
-0.051,-0.327,-0.951,3.418,-5.920,-1.099
-0.052,-0.336,-0.970,4.150,-4.883,-0.610
-0.048,-0.340,-0.990,2.747,-4.578,-0.305
-0.056,-0.340,-1.006,2.380,-4.639,-0.183
-0.060,-0.339,-0.991,3.174,-6.104,0.366
-0.056,-0.343,-0.982,5.249,-6.714,0.732
-0.051,-0.333,-0.998,5.981,-6.897,1.160
-0.045,-0.333,-1.011,5.249,-7.874,1.160
-0.043,-0.343,-1.022,4.517,-10.132,1.038
-0.036,-0.346,-1.006,4.578,-12.756,1.526
-0.042,-0.331,-0.975,5.127,-14.832,2.563
-0.048,-0.323,-0.969,5.188,-14.038,3.235
-0.041,-0.331,-0.984,4.578,-12.573,3.235
-0.028,-0.350,-1.010,5.676,-12.329,3.357
-0.023,-0.361,-1.035,6.592,-13.062,4.517
-0.021,-0.350,-1.010,7.324,-15.381,6.104
-0.021,-0.331,-0.999,7.568,-17.090,7.629
-0.021,-0.312,-1.013,7.019,-17.700,8.301
-0.019,-0.314,-1.002,6.104,-19.470,8.362
-0.018,-0.304,-0.996,6.592,-20.569,8.545
-0.014,-0.299,-0.987,7.568,-20.935,8.179
-0.017,-0.307,-0.970,7.446,-20.874,7.690
-0.010,-0.289,-0.965,7.996,-20.264,7.812
-0.013,-0.276,-0.975,8.545,-18.982,7.996
0.001,-0.288,-0.957,8.301,-18.616,6.653
0.007,-0.280,-0.988,8.057,-17.151,6.409
0.008,-0.281,-1.000,7.690,-15.991,5.615
0.002,-0.287,-1.003,6.470,-16.479,4.639
0.004,-0.286,-1.020,6.165,-16.296,4.944
0.007,-0.282,-1.032,5.920,-16.174,5.310
0.011,-0.302,-1.032,4.944,-17.334,4.517
0.013,-0.301,-1.015,5.554,-19.104,4.944
-2.786,-0.643,-1.046,112.122,713.379,-260.559
-2.912,-0.844,-2.696,99.609,764.526,-240.601
-2.680,-0.929,-4.000,12.451,736.267,-202.942
-2.161,-1.281,-4.000,-140.503,584.229,-170.593
-1.708,-1.890,-4.000,-290.527,358.643,-143.372
-1.472,-2.515,-4.000,-368.835,162.964,-109.253
-1.512,-2.764,-2.936,-341.797,53.894,-61.340
-1.464,-2.008,-2.393,-209.229,52.551,4.028
-1.264,-0.850,-2.775,-54.016,101.501,54.504
-0.938,-0.266,-2.911,35.400,104.858,48.828
-0.640,-0.164,-2.603,60.303,65.002,20.691
-0.427,-0.319,-2.020,46.448,15.747,-2.808
-0.340,-0.490,-1.542,28.259,-11.475,-17.151
-0.285,-0.500,-1.432,24.109,-2.930,-20.020
-0.239,-0.427,-1.585,33.997,12.634,-18.066
-0.193,-0.376,-1.599,43.945,8.118,-17.395
-0.142,-0.447,-1.373,42.664,-11.475,-18.982
-0.111,-0.579,-1.113,32.288,-28.503,-17.944
-0.087,-0.600,-0.910,18.005,-37.231,-9.399
-0.083,-0.564,-0.831,8.118,-35.645,0.061
-0.097,-0.489,-0.781,5.432,-32.227,7.324
-0.106,-0.382,-0.760,4.395,-30.518,11.414
-0.115,-0.336,-0.752,2.136,-27.771,9.216
-0.106,-0.336,-0.725,1.038,-25.879,4.761
-0.100,-0.343,-0.715,1.648,-22.461,0.610
-0.093,-0.368,-0.742,5.493,-14.587,-2.319
-0.082,-0.373,-0.791,10.803,-7.507,-3.052
-0.072,-0.385,-0.763,11.902,-6.592,-3.113
-0.059,-0.414,-0.719,7.141,-6.958,-3.174
-0.044,-0.419,-0.737,-0.732,-4.944,-2.075
-0.054,-0.444,-0.784,-9.583,-2.075,0.000
-0.068,-0.441,-0.838,-12.634,0.305,2.625
-0.087,-0.417,-0.853,-9.521,0.366,5.188
-0.106,-0.388,-0.864,-3.296,0.732,6.531
-0.116,-0.392,-0.848,3.601,1.099,6.104
-0.129,-0.370,-0.902,9.705,3.601,5.493
-0.132,-0.357,-0.942,14.526,4.639,4.517
-0.131,-0.370,-0.958,17.395,2.502,2.563
-0.124,-0.389,-0.958,19.165,0.183,1.587
-0.120,-0.400,-0.952,19.653,-1.221,2.258
-0.122,-0.383,-0.932,19.287,-2.625,4.272
-0.121,-0.355,-0.919,16.846,-2.502,6.165
-0.117,-0.347,-0.936,13.489,-0.244,6.775
-0.122,-0.335,-0.990,10.376,1.526,6.531
-0.115,-0.330,-0.997,7.751,-0.061,5.737
-0.110,-0.320,-1.004,5.615,-1.221,4.456
-0.115,-0.310,-1.026,4.578,-0.671,2.686
-0.116,-0.326,-1.043,4.089,-0.977,0.366
-0.108,-0.345,-1.010,5.371,-3.723,-2.197
-0.103,-0.365,-0.972,5.127,-5.432,-3.601
-0.092,-0.416,-0.980,3.967,-3.357,-4.211
-0.082,-0.427,-1.037,4.700,-1.465,-2.991
-0.088,-0.405,-1.014,3.479,-4.028,-0.610
-0.089,-0.394,-1.019,1.404,-5.493,0.732
-0.084,-0.403,-1.030,-0.061,-4.822,1.221
-0.091,-0.387,-1.020,-0.610,-5.371,2.686
-0.098,-0.365,-0.981,1.343,-5.859,3.235
-0.091,-0.357,-0.948,3.479,-5.310,2.319
-0.097,-0.342,-0.972,4.578,-2.502,1.343
-0.095,-0.342,-1.002,5.432,-0.977,0.122
-0.093,-0.354,-0.989,5.554,-2.319,-1.221
-0.094,-0.366,-0.959,3.967,-3.479,-1.526
-0.097,-0.377,-0.970,2.808,-2.747,-1.465
-0.092,-0.378,-0.961,1.526,-3.357,-0.610
-0.088,-0.383,-0.951,-0.793,-4.395,-0.122
-0.091,-0.373,-0.972,-1.648,-3.967,0.305
-0.087,-0.370,-0.948,-0.366,-4.761,0.427
-0.084,-0.363,-0.921,1.099,-6.226,0.122
-0.084,-0.350,-0.912,2.747,-5.249,0.671
-0.079,-0.356,-0.913,2.991,-4.272,0.427
-0.085,-0.342,-0.927,2.380,-4.089,0.427
-0.084,-0.348,-0.920,1.770,-4.578,0.244
-0.079,-0.360,-0.914,0.671,-4.578,-0.366
-0.078,-0.369,-0.901,-0.488,-4.578,-0.549
-0.079,-0.348,-0.902,-0.488,-3.662,0.427
-0.084,-0.337,-0.926,-0.977,-2.258,0.671
-0.084,-0.331,-0.925,-1.099,-1.770,-0.122
-0.080,-0.344,-0.916,-1.160,-1.343,-1.343
-0.084,-0.352,-0.950,-1.648,-0.122,-2.380
-0.082,-0.364,-0.973,-2.014,-0.183,-2.930
-0.073,-0.395,-0.963,-1.892,-1.892,-3.174
-0.081,-0.390,-0.963,-1.770,-2.563,-2.686
-0.086,-0.370,-0.958,-0.488,-2.747,-2.258
-0.090,-0.367,-0.935,-0.671,-2.258,-2.136
-0.080,-0.365,-0.969,-0.916,-0.061,-2.075
-0.081,-0.378,-0.997,-1.038,0.793,-2.563
-0.084,-0.370,-0.994,-0.671,-0.916,-2.319
-0.072,-0.384,-0.950,-0.732,-2.502,-2.502
-0.072,-0.391,-0.971,-0.977,-1.831,-2.869
-0.068,-0.398,-0.970,0.000,-1.587,-2.625
-0.065,-0.407,-0.932,1.892,-2.747,-1.648
-0.063,-0.386,-0.948,2.502,-1.282,-0.061
-0.068,-0.365,-0.978,2.625,-0.061,0.977
-0.067,-0.363,-0.966,2.380,-1.770,0.732
-0.066,-0.374,-0.952,1.099,-3.235,0.427
-0.069,-0.380,-0.967,0.061,-3.296,0.427
-0.072,-0.373,-0.953,-0.671,-4.578,0.854
-0.085,-0.374,-0.929,-1.038,-5.127,1.038
-0.083,-0.366,-0.941,-0.732,-2.991,1.160
-0.082,-0.367,-0.976,0.305,-0.854,0.549
-0.078,-0.369,-0.968,2.319,-1.160,0.488
-0.071,-0.365,-0.952,3.296,-2.136,0.488
-0.075,-0.366,-0.964,2.136,-1.648,0.610
-0.078,-0.363,-0.965,0.977,-2.197,0.916
-0.078,-0.343,-0.963,0.977,-3.052,1.465
-0.077,-0.339,-0.972,0.366,-3.113,0.549
-0.073,-0.355,-0.975,-0.610,-3.479,-0.427
-0.073,-0.373,-0.975,-0.122,-4.700,-0.793
-0.074,-0.368,-0.987,1.404,-4.639,0.183
-0.075,-0.376,-0.976,2.075,-5.676,0.610
-0.074,-0.371,-0.987,3.479,-6.104,1.343
-0.078,-0.349,-0.991,4.639,-6.531,2.380
-0.082,-0.338,-0.981,4.150,-7.874,2.075
-0.074,-0.338,-0.979,3.601,-8.789,1.709
-0.082,-0.365,-1.003,1.648,-8.728,0.122
-0.065,-0.303,-0.991,2.136,-10.498,-0.305
-0.089,-0.352,-0.964,3.052,-11.780,-1.404
-0.071,-0.333,-0.961,4.028,-10.254,0.793
-0.075,-0.347,-0.981,3.540,-8.484,0.244
-0.990,-0.119,-2.049,-0.916,430.359,-57.312
-0.987,-0.105,-2.283,-29.724,394.653,-53.833
-0.899,-0.096,-2.370,-61.340,348.206,-53.894
-0.865,-0.235,-2.318,-74.646,301.941,-59.570
-0.828,-0.312,-2.280,-65.918,264.343,-62.561
-0.778,-0.354,-2.276,-53.894,235.596,-60.364
-0.739,-0.331,-2.152,-35.278,204.529,-58.228
-0.709,-0.362,-1.926,-17.395,174.133,-58.716
-0.643,-0.381,-1.762,-5.127,153.870,-58.838
-0.566,-0.421,-1.713,-4.822,142.578,-58.228
-0.517,-0.367,-1.753,-11.658,133.545,-55.542
-0.492,-0.535,-1.738,-19.043,121.460,-56.213
-0.472,-0.674,-1.655,-10.925,104.126,-46.997
-0.467,-0.521,-1.591,13.611,89.233,-19.836
-0.459,-0.155,-1.561,31.128,79.041,4.883
